号码 球员姓名 位置 身高 体重 年龄 生涯 毕业大学 地址
0 以赛亚-托马斯 控球后卫 1.75m 83kg 29 0年 Washington http://nba.sports.163.com//player/1000000015/
11 蒙特-莫里斯 控球后卫 1.90m 79kg 23 0年 Iowa-State http://nba.sports.163.com//player/1000000470/
7 特雷-莱尔斯 大前锋 2.08m 106kg 23 0年 Kentucky http://nba.sports.163.com//player/1000000471/
4 保罗-米尔萨普 大前锋 2.03m 111kg 33 0年 Louisiana Tech http://nba.sports.163.com//player/1000000472/
27 贾马尔-穆雷 得分后卫 1.93m 93kg 21 0年 Kentucky http://nba.sports.163.com//player/1000000474/
14 加里-哈里斯 得分后卫 1.93m 95kg 24 0年 Michigan-State http://nba.sports.163.com//player/1000000475/
5 威尔-巴顿 得分后卫 1.98m 86kg 27 0年 Memphis http://nba.sports.163.com//player/1000000477/
24 梅森-普拉姆利 大前锋 2.11m 106kg 28 0年 Duke http://nba.sports.163.com//player/1000000479/
3 托里-克雷格 小前锋 2.01m 97kg 27 0年 South-Carolina-Upstate http://nba.sports.163.com//player/1000000481/
41 胡安-埃尔南戈麦斯 小前锋 2.06m 104kg 23 0年  http://nba.sports.163.com//player/1000000482/
25 马利克-比斯利 得分后卫 1.96m 88kg 21 0年 Florida-State http://nba.sports.163.com//player/1000000484/
15 尼古拉-约基奇 中锋 2.13m 113kg 23 0年  http://nba.sports.163.com//player/1000000486/
20 泰勒-莱登 大前锋 2.08m 102kg 22 0年 Syracuse http://nba.sports.163.com//player/1000000487/
0 唐纳德-斯隆 控球后卫 1.90m 92kg 30 5年 Texas-A&M http://nba.sports.163.com//player/1000000544/
13 泽维尔-西拉斯 得分后卫 1.96m 89kg 30 0年 Northern-Illinois http://nba.sports.163.com//player/1000000627/
8 贾里德-范德比尔特 小前锋 2.06m 97kg 19 0年 Kentucky http://nba.sports.163.com//player/1000000757/
1 迈克尔-波特 大前锋 2.08m 95kg 20 0年 Missouri http://nba.sports.163.com//player/1000000758/
45 托马斯-威尔士 中锋 2.13m 115kg 22 0年 California-Los-Angeles http://nba.sports.163.com//player/1000000759/
23 德沃恩-库恩-珀塞尔 得分后卫 1.98m 90kg 25 0年 Illinois-State http://nba.sports.163.com//player/1000000760/
22 伊曼努尔-特里 小前锋 2.06m 99kg 23 0年 Lincoln-Memorial http://nba.sports.163.com//player/1000000786/
