1951年NBA全明星赛	BaiduCARD	首届NBA全明星赛 1951年的NBA全明星赛是于1951年3月2日在位于马萨诸塞州波士顿凯尔特人队的主场花园球馆(Boston Garden)举行的一场表演赛。这是NBA的首届全明星比赛，比赛在1950-51赛季间举办。比赛构想源于NBA总裁莫里斯-波多洛夫(Maurice Podoloff)，NBA公关主管哈斯凯尔-科恩(Haskell Cohen)及波士顿凯尔特人队老板沃尔特-布朗三人间的一次会谈。当时的篮球圈受大学篮球的操纵比分丑闻负面影响很大。为了重新获得公众对联盟的关注，科恩建议组织一场汇聚全联盟最好球员的表演赛，类似于职棒大联盟(MLB)的全明星比赛性质。尽管包括波多洛夫在内的大多数人都对这一主张并不看好，布朗却对成功表示自信。他甚至主动提出主办比赛并承担一切费用，甚至承担可能发生的亏损。东部全明星队以111-94击败了西部全明星队。波士顿凯尔特人队的埃德-麦考利(Ed Macauley)荣获NBA全明星赛MVP奖。比赛取得了成功，吸引了10094名观众到场，比当赛季场均3500名到场观众的人数高出很多。
1952年NBA全明星赛	BaiduCARD	1952年的全明星赛是NBA的第二届全明星比赛。 比赛日期：1952年2月11日，星期一 比赛地点：波士顿花园球馆 到场观众：10,211 MVP得主：保罗-阿里金(Paul Arizin)  东部主教练：阿尔-赛尔维(Al Cervi)锡拉丘兹民族队；西部主教练：约翰-昆德拉 (John Kundla) 明尼阿波利斯湖人队
1954年NBA全明星赛	BaiduCARD	第四届全明星赛 1954年NBA全明星赛是NBA第四届全明星比赛。于1954年1月21日在纽约城的麦迪逊广场花园球馆(Madison Square Garden)举办。波士顿凯尔特人队的鲍勃-库西(Bob Cousy)获得了当场比赛MVP奖项。东部联盟的主教练由纽约尼克斯队的乔-拉普奇克(Joe Lapchick)出任，西部联盟的主帅是明尼阿波利斯湖人队的主教练约翰-昆德拉(John Kundla)。到场观众人数达到16487人。  在比赛还剩几秒的时候东部以84-82领先。然而湖人队的乔治-迈肯(George Mikan)博得了犯规并两罚命中，比赛进入加时。 在加时赛里，库西取下了10分帮助球队以98-93保住了胜利。西部联盟的吉姆-波拉德(Jim Pollard)取得了全场最高的23分，在常规时间结束前的投票中原本是MVP的人选。但是在又一次投票中库西最终获得了MVP奖项。 1954年全明星赛是最后一届没有任何一方得满100分的全明星赛。 当值主裁：门迪-鲁道夫(Mendy Rudolph) 西德-波吉亚(Sid Borgia)  到场观众：16,487  转播机构：Syndication  解说员：马蒂-格里克曼(Marty Glickman) 林德赛-尼尔森(Lindsey Nelson)
1955年NBA全明星赛	BaiduCARD	查利-埃克曼执掌西部全明星队 1955年的NBA全明星赛是NBA第五届全明星赛。 比赛日期：1955年1月18日，星期二 比赛地点：纽约麦迪逊广场花园球馆(Arena Madison Square Garden)  比赛MVP：比尔-沙曼(Bill Sharman) 当值主裁：菲尔-福克斯(Phil Fox)， 乔-塞拉芬(Joe Serafin)  到场观众：15,564 东部主教练：艾尔-赛尔维(Al Cervi)，锡拉丘兹民族队 西部主教练：查利-埃克曼(Charley Eckman)，韦恩堡活塞队
1956年NBA全明星赛	BaiduCARD	一代巨星鲍勃-佩蒂特收获全明星MVP奖杯 1956年NBA全明星赛是NBA第六届全明星赛。 比赛日期：1956年1月24日，星期二 比赛地点：纽约州罗切斯特市罗切斯特阵亡将士纪念球馆(Rochester War Memorial Coliseum) MVP：鲍勃-佩蒂特(Bob Pettit)  当值主裁：阿尼-海福特(Arnie Heft)  卢-艾森斯泰恩(Lou Eisenstein)  到场观众：8,517 西部主教练：查利-埃克曼(Charley Eckman)，韦恩堡活塞队；东部主教练：乔治-塞内斯基(George Senesky)，费城勇士队
1957年NBA全明星赛	BaiduCARD	获得MVP的鲍勃-库西 1957年NBA全明星赛是NBA的第七届全明星比赛。半场即将结束前西部明星队以43-49领先，东部明星队的比尔-沙曼(Bill Sharman)试图把球长传扔给鲍勃-库西(Bob Cousy)。而这一扔竟然直接变成了一记70英尺(21米)的投篮命中。 比赛日期：1957年1月15日，星期二 比赛地点：马萨诸塞州波士顿市波士顿花园球馆(Boston Garden) MVP：鲍勃-库西  当值主裁：门迪-鲁道夫(Mendy Rudolph) 西德-波吉亚(Sid Borgia)  到场观众：11,178 东部主教练：阿诺德-奥尔巴赫(Red Auerbach)，波士顿凯尔特人队；西部主教练：鲍比-万泽(Bobby Wanzer)，罗切斯特皇家队
1958年NBA全明星赛	BaiduCARD	鹰王鲍勃-佩蒂特二夺MVP 1958年NBA全明星比赛是NBA的第八届全明星赛。 比赛时间：1958年1月21日，星期二  比赛地点： 密苏里州圣路易斯市基尔大礼堂(Kiel Auditorium) MVP：鲍勃-佩蒂特(Bob Pettit) 当值主裁： 吉姆-达菲(Jim Duffy)  阿尼-海福特(Arnie Heft) 到场观众：12,854 东部主教练：阿诺德-奥尔巴赫(Red Auerbach)，波士顿凯尔特人队 西部主教练：亚历克斯-汉纳姆(Alex Hannum)，圣路易斯老鹰队
1959年NBA全明星赛	BaiduCARD	1959年NBA全明星赛是NBA第九届全明星赛。 比赛日期：1959年1月23日，星期五 比赛地点：密歇根州底特律市奥林匹亚球馆(Olympia Stadium) MVP：埃尔金-贝勒(Elgin Baylor)  鲍勃-佩蒂特(Bob Pettit) 当值主裁：吉姆-达菲(Jim Duffy) 门迪-鲁道夫(Mendy Rudolph) 到场观众：10,541 西部主教练：埃德-麦考利(Ed Macauley)，圣路易斯老鹰队 ；东部主教练：阿诺德-奥尔巴赫(Red Auerbach)，波士顿凯尔特人队
1970年	BaiduCARD	9月23日—<a>赵树理</a>，中国农民作家逝世。|||<a>中国</a>第一台具有多道程序<a>分时操作系统</a>和标准汇编语言的计算机——441B－Ⅲ型全<a>晶体管计算机</a>研制成功。|||<a>NBA</a>又增加了一支全新的球队——<a>克利夫兰骑士队</a>。|||<a>8月</a>，中国开始研制<a>运10</a>。
1970年	体育	<a>NBA</a>新增<a>克利夫兰骑士队</a>
1978年NBA总决赛	BaiduCARD	1978年NBA总决赛综述 1977-1978赛季的华盛顿子弹队 这是西雅图超音速队自1967-68赛季进入联盟后首次杀入联盟总决赛，而华盛顿子弹队此前有两次总决赛经验，但分别在1971年和1975年败在了盛极一时的密尔沃基雄鹿和金州勇士队手中。1978年5月25日双方的第二场比赛也是子弹队队史上的第一次总决赛胜利。 超音速队在东部分区淘汰了洛杉矶湖人，波特兰开拓者和丹佛掘金闯入决赛，而子弹队在教练迪克-莫塔(Dick Motta)的率领下一路淘汰了亚特兰大老鹰，圣安东尼奥马刺和费城76人。 经过7场比赛的激烈争夺，华盛顿子弹队取得了最终的胜利，夺得了队史上至今唯一一座总冠军奖杯，第四场和第七场也成为联盟总决赛历史上的经典对决。韦斯-昂塞尔德(Wes Unseld)荣获本届总决赛最有价值球员。
1980年NBA总决赛	BaiduCARD	1980年总决赛是联盟1979-80赛季的压轴大戏。卡里姆-阿卜杜-贾巴尔(Kareem Abudl-Jabbar)当选当年常规赛最有价值球员。但当系列赛进行到第五场时，这位湖人队的当家中锋脚踝受伤，好在他在比赛的第四节王者归来，率领洛杉矶湖人对赢得了比赛的胜利，取得了3-2的胜场领先。可湖人队还需要飞到费城去打第六场，贾巴尔因伤缺席了第六场比赛(76人队的主教练比利-康宁汉姆曾说：“即使湖人的飞机降落，飞机上没有贾巴尔，我都不信他不会打这场比赛。”)。贾巴尔被放到了伤病名单，如果需要的话，他可能会缺席第七场。但对湖人来说，6场已经足够了。 第六场，魔术师约翰逊(Magic Johnson)打出了职业生涯最棒的一场比赛。客场对阵费城，6尺9寸的魔术师担任球队首发中锋（但在比赛中履行中锋的职能仅体现在开场跳球，以及开场回合非轮转对位道金斯并犯规，进攻端更多的依靠持球突破，防守端主盯费城外线球员)
1981年NBA总决赛	BaiduCARD	1981年NBA总决赛在当地时间1981年5月5日-1981年5月14日进行，比赛双方为波士顿凯尔特人与休斯顿火箭。最终凯尔特人以4-2战胜火箭，赢得1981年NBA总冠军，塞德里克-麦克斯维尔获得总决赛最有价值球员。 总决赛波士顿-休斯顿 图片来源:GettyImage 1981总决赛前的休斯顿火箭 1980-1981赛季的休斯顿火箭队由主教练德尔-哈里斯(Del Harris)统领，而他们的台柱便是内线球员摩西-马龙(Moses Malone)。另外，联盟当时最矮的球员卡尔文-莫非(Calvin Murphy)在当年创下两项NBA纪录。连续投进78个罚球，超越当时又由里克-巴里(Rick Barry)在1976年创造的连续投中60个罚球的纪录。并在当年以95.8%的罚球命中率超越里克-巴里在1979年创造的纪录。其他的火箭拼图：鲁迪-汤姆贾诺维奇(Rudy Tomjanovic)，罗伯特-里德(Robert Reid)，迈克-邓利维(Mike Dunleavy,Sr.)，阿伦-莱维尔(Allen Leavell)，比利-保尔茨(Billy Paultz)，比尔-威洛比(Bill Willoughby)，卡尔文-加雷特(Calvin Garrett)，汤姆-亨德森(Tom Henderson)，梅耶-琼斯(Major Jones)。休斯顿火箭队在常规赛中取得40胜-42负的战绩，和堪萨斯城国王战绩持平，位列圣安东尼奥马刺之后，排名中西区第二位。 休斯顿火箭队在季后赛的第一轮就遇到了卫冕冠军洛杉矶湖人，三场取得两胜，涉险过关。随后于乔治-格文领军的马刺队过招，以4-3的总比分获胜。
1983年NBA总决赛	BaiduCARD	1983年总决赛回顾  摩西-马龙手捧冠军奖杯 1982-83赛季，费城76人找到了他们总冠军之路上的最后一块拼图，从休斯顿火箭招来联盟顶尖内线球队摩西-马龙(Moses Malone)，开始了他们连续第二个赛季的争夺总冠军之路。费城打出队史上第二好的65胜常规赛战绩，并在当年的季后赛以摧枯拉朽之势淘汰了纽约尼克斯，密尔沃基雄鹿，并在总决赛中4-0完胜上赛季在总决赛中击败他们的洛杉矶湖人。 主教练比利-康宁汉姆(Billy Cunningham)说:"我们唯一的变化便是有了摩西。"，摩西-马龙当选1983年NBA总决赛最有价值球员，同是获得他职业生涯的第三座常规赛最有价值球员奖杯。在朱利叶斯-欧文(Julius Erving)，莫里斯-奇克斯(Maurice Cheeks)，安德鲁-托尼(Andrew Toney)和鲍比-琼斯(Bobby Jones)的协作下，费城76人队在总决赛取得12胜1负。 在总决赛第四场还剩59秒时，朱利叶斯-欧文的三分球宣告费城76人队赢得1983年NBA总冠军。 经典时刻 1983年NBA总决赛是最后一次在6月份之前结束的总决赛。      在2008年费城人队夺取World Series之前，费城76人队的这次夺冠是费城这座城市的最后一次赢得冠军奖杯。而费城老鹰队和费城飞人队分别从1960年和1975年开始就与冠军无缘。 "冠军的感觉"      在1983年NBA总决赛结束之后，一部叫做"冠军的感觉"的概述该年度的纪录片面世。迪克-斯托克顿(Dick Stockton)和比尔-拉塞尔(Bill Russell)为该纪录片献声。
1983年NBA总决赛	总冠军	费城76人队
1989年NBA全明星赛	BaiduCARD	卡尔-马龙捧起当届MVP奖杯 1989年NBA全明星赛是NBA第39届全明星赛，1989年2月12日在德克萨斯州的休斯顿(Houston, Texas )举行。卡尔-马龙(Karl Malone)获得了MVP奖杯。 东部联盟球员包括纽约尼克斯队的马克-杰克逊(Mark Jackson)和帕特里克-尤因(Patrick Ewing)，波士顿凯尔特人队的凯文-麦克海尔(Kevin McHale)，芝加哥公牛队的迈克尔-乔丹(Michael Jordan)，亚特兰大老鹰队的摩西-马龙(Moses Malone)和多米尼克-威尔金斯(Dominique Wilkins)，费城76人队的查尔斯-巴克利(Charles Barkley)，底特律活塞队的伊塞亚-托马斯(Isiah Thomas)，克利夫兰
1990年NBA全明星赛	BaiduCARD	大梦背身要位单打尤因 1990年NBA全明星赛是NBA的第40届全明星赛，于1990年2月11日在迈阿密举行。魔术师约翰逊(Magic Johnson)获得了MVP奖杯。 东部明星队的球员包括波士顿凯尔特人队的三巨头拉里-伯德(Larry Bird)，凯文-麦克海尔(Kevin McHale)，罗伯特-帕里什(Robert Parish)，芝加哥公牛队的活力二人组迈克尔-乔丹(Michael Jordan)，斯科特-皮蓬(Scottie Pippen)， 底特律活塞队的三人组合伊塞亚-托马斯(Isiah Thomas)，乔-杜马斯(Joe Dumars)，丹尼斯-罗德曼(Dennis Rodman)，费城76人队的查尔斯-巴克利Charles Barkley, 纽约尼克斯队的中锋帕特里克-尤因(Patrick Ewing)，亚特兰大老鹰队的多米尼克-威尔金斯(Dominique Wilkins)以及印第安纳步行者队的雷吉-米勒(Reggie Miller)。 西部明星队由洛杉矶湖人队的四人组合魔术师约翰逊(Magic Johnson)，詹姆斯-沃西(James Worthy)，卡里姆-阿卜杜-贾巴尔(Kareem Abdul-Jabbar)及AC-格林(A.C. Green)领衔，其他成员还有波特兰开拓者队的克莱德-德雷克斯勒(Clyde Drexler)，休斯顿火箭队的哈基姆-奥拉朱旺(Hakeem Olajuwon)，犹他爵士队的约翰-斯托克顿(John Stockton)，菲尼克斯太阳队的汤姆-钱伯斯(Tom Chambers)和凯文-约翰逊(Kevin Johnson)，达拉斯小牛队的罗兰多-布莱克曼(Rolando Blackman)，金州勇士队的克里斯-穆林(Chris Mullin)，圣安东尼奥马刺队的大卫-罗宾逊(David Robinson)，以及丹佛掘金队的拉菲耶特-列弗(Fat Lever) 。
1992年NBA全明星赛	BaiduCARD	魔术师约翰逊捧起MVP奖杯 1992年NBA全明星赛是第42届全明星赛。比赛在佛罗里达州奥兰多市的奥兰多球馆（Orlando Arena）举行。西部以153-113击败了东部。本届比赛最值得纪念地是洛杉矶湖人队传奇巨星魔术师约翰逊（Magic Johnson）的回归，1991-92赛季后约翰逊曾因感染HIV而退役。在比赛中约翰逊在与伊塞亚-托马斯（Isiah Thomas ）及迈克尔-乔丹（Michael Jordan ）的一对一对决中取得了值得纪念的胜利，以一记远距离三分锁定了胜局，并荣获MVP奖杯。
1993年NBA全明星赛	球队	菲尼克斯太阳队
1994年NBA全明星赛	BaiduCARD	尤因和奥拉朱旺在内线对决 1994年NBA全明星赛是第44届全明星比赛。比赛在明尼苏达州的明尼阿波利斯举行。东部明星队以127-118获得了胜利。芝加哥公牛队的斯科特-皮蓬(Scottie Pippen)当选为MVP。 东部主教练：伦尼-威尔肯斯(Lenny Wilkens)  西部主教练：乔治-卡尔(George Karl) 最高得票：查尔斯-巴克利(Charles Barkley) (794,936票) 现场观众：17,096
