!=	BaiduTAG	语言术语
!DOCTYPE	BaiduCARD	！文档类型，一个文档类型标记是一种<a>标准通用标记语言</a>的文档类型声明，它的目的是要告诉<a>标准通用标记语言</a>解析器，它应该使用什么样的文档类型定义（<a>DTD</a>）来解析<a>文档</a>。
!DOCTYPE	BaiduTAG	科技
!DOCTYPE	BaiduTAG	计算机学
!DOCTYPE	中文名	！文档类型
!DOCTYPE	外文名	DOCument TYPE
!K7	BaiduTAG	音乐
!K7	BaiduTAG	专辑
!K7	BaiduTAG	音乐人物
"071"特大组织淫秽表演案	BaiduCARD	“071”特大组织淫秽表演案（“071” especially big organization obscene performance document ；"071" obscene performances the case of large organizations）。|||“是引起<a>公安部</a>高度重视并被直接定名的、指定由<a>荆州市公安局</a>网监支队办理的部督案件。
"1+8"时代广场	中文名	"1+8"时代广场
"1+8"时代广场	地点	咸宁大道与银泉大道交叉口
"1+8"时代广场	实质	城市综合体项目
"1+8"时代广场	总建面	约11.28万方
"1.4"河南兰考火灾事故	中文名	"1.4"河南兰考火灾事故
"1.4"河南兰考火灾事故	地点	河南<a>兰考县</a>城关镇
"1.4"河南兰考火灾事故	时间	2013年1月4日
"1.4"河南兰考火灾事故	结果	一人重伤
"1.4"河南兰考火灾事故	结果	七人死亡
"100-1=0"定律	BaiduCARD	“100-1=0”定律最初来源于一项监狱的职责纪律：不管以前干得多好，如果在众多犯人里逃掉一个，便是永远的失职。在我们看来，这个纪律似乎过于严格了。但从防止罪犯重新危害社会来说，百无一失是极为必要的。后来，这个规定被管理学家们引入到了企业管理和商品营销中（包括服务行业），很快就得到了广泛的应用和流传。
"1135"发展战略	BaiduCARD	2009年6月，国家发改委正式批准《关中—天水经济区发展规划》，未来5-10年是中国-天水实现《关中—天水经济区规划实施方案》中提出的“5年大发展，10年新跨越”城市发展战略的重要时期，是整合城市外部资源优化城市内部结构的关键转型时期，在提出的五大战略与关中-天水经济区规划的基础上天水市进一步提出“1135”发展目标定位，即建设一圣地、一枢纽、三基地、打造五品牌，以此来强力推进中国天水经济高速发展。
"12380"短信举报平台	中文名	“<a>12380</a>”短信举报平台
"12380"短信举报平台	内容	网络
"12380"短信举报平台	内容	<a>短信（释义）</a>“
"12380"短信举报平台	内容	信件
"12380"短信举报平台	内容	电话
"12380"短信举报平台	机构	中组部
"12380"短信举报平台	类型	综合举报受理平台
"12650"型基地扫雷舰	BaiduCARD	12650型“宝石”基地扫雷舰主要用于寻找、辨别、摧毁港湾、航线及近海水域内的各种沉底水雷、锚雷、漂雷，保护潜艇、水面舰艇和各种辅助船只出海及返航安全。
"1314"结婚潮	BaiduCARD	2013年1月4日正好谐音“一生一世”的美好寓意。这一美好寓意引发了预约登记结婚潮。2012年12月初，众多网民市民想赶在2013年1月4日这一天登记结婚，结果导致婚姻登记网站系统瘫痪，登录不上去。2012年12月4日，<a>广州市</a>民政局发布官方微博称因为预约婚姻登记人数剧增导致婚姻登记预约系统出现‘塞车’现象。
"1346"行动计划	BaiduCARD	为贯彻安徽省委、省政府关于实施“861”行动计划的部署，围绕合肥市到2010年实现“千亿规划”和建成人口达300万的大城市目标，本着支撑性、牵动性强的原则，研究提出了一批建设“四大基地”和六大基础工程的重大项目，计划在2004—2010年实施，以带动我市经济快速发展，进一步提高我市基础产业和基础设施整体水平，增强经济发展活动和综合竞争力。
"141"绿色工程	中文名	"141"绿色工程
"141"绿色工程	体系数量	4
"141"绿色工程	在建工程	治沙工程
"141"绿色工程	基地名称	南方速生丰产用材林基地
"141"绿色工程	建设期限	1978年一2050年
"141"绿色工程	类型	绿色工程建设项目
"141"绿色工程	规划建设	6 000万公顷
